turn,player_move,player_hit,bot_move,bot_hit
1,F5,miss,A2,hit
2,J9,miss,I5,miss
3,A10,hit,H3,miss
4,B10,miss,B3,miss
5,A9,hit,A9,miss
6,B1,miss,E10,miss
7,E1,miss,F5,miss
8,A1,hit,D9,miss
9,J1,hit,B5,miss
10,F10,miss,C9,miss
11,E10,miss,I7,hit
12,J5,miss,G5,miss
13,A5,hit,E7,hit
14,A6,miss,A6,hit
15,B5,miss,I10,miss
16,A4,hit,A8,miss
17,J7,hit,E4,miss
18,J8,miss,C4,miss
19,J6,miss,D10,miss
20,I7,hit,G10,miss
21,H7,hit,A5,miss
22,G10,miss,B7,miss
23,H10,hit,E2,hit
24,J10,miss,J4,miss
25,D10,miss,B10,miss
26,J4,hit,J1,miss
27,F1,miss,C10,miss
28,G1,hit,H2,miss
29,G2,hit,B6,miss
30,G3,hit,I2,hit
31,D2,hit,G3,miss
32,D1,miss,F3,miss
33,D3,hit,C5,miss
34,D4,hit,H10,miss
35,D5,hit,H1,miss
36,F9,miss,F2,miss
37,G5,miss,I1,hit
38,C8,miss,I4,miss
39,E8,hit,G2,hit
40,F8,miss,J10,miss
41,E7,miss,G1,hit
42,D8,miss,G7,hit
43,E9,hit,,miss
